GENEID	GENENAME	GENEDESCRP	METABOLIC
YER014C-A	BUD25	BUD site selection	NA
YDR241W	BUD26	BUD site selection	NA
YFL023W	BUD27	BUD site selection	NA
YLR062C	BUD28	BUD site selection	NA
YCL014W	BUD3	BUD site selection	NA
YDL151C	BUD30	BUD site selection	NA
YCR063W	BUD31	BUD site selection	NA
YGR262C	BUD32	BUD site selection	NA
YJR092W	BUD4	BUD site selection	NA
YCR038C	BUD5	BUD site selection	NA
YLR319C	BUD6	BUD site selection	NA
YOR299W	BUD7	BUD site selection	NA
YLR353W	BUD8	BUD site selection	NA
YGR041W	BUD9	BUD site selection	NA
YDL099W	BUG1	Binder of USO1 and GRH1	NA
YMR275C	BUL1	Binds Ubiquitin Ligase	NA
YML111W	BUL2	Binds Ubiquitin Ligase	NA
YLR226W	BUR2	Bypass UAS Requirement	NA
YER159C	BUR6	Bypass UAS Requirement	NA
YNL305C	BXI1	BaX Inhibitor	NA
YKL005C	BYE1	BYpass of ESS1	NA
YHR114W	BZZ1		NA
YDR531W	CAB1	Coenzyme A Biosynthesis	Yeast7.6
YIL083C	CAB2	Coenzyme A Biosynthesis	Yeast7.6
YKL088W	CAB3	Coenzyme A Biosynthesis	Yeast7.6
YGR277C	CAB4	Coenzyme A Biosynthesis	Yeast7.6
YDR196C	CAB5		Yeast7.6
YML102W	CAC2	Chromatin Assembly Complex	NA
YDR423C	CAD1	CADmium resistance	NA
YNL278W	CAF120	CCR4 Associated Factor	NA
YGR134W	CAF130	CCR4 Associated Factor	NA
YFL028C	CAF16	CCR4 Associated Factor	NA
YOR276W	CAF20	Cap Associated Factor	NA
YKR036C	CAF4	CCR4 Associated Factor	NA
YNL288W	CAF40	CCR4 Associated Factor	NA
YER048C	CAJ1		NA
YFL029C	CAK1	Cdk-Activating Kinase	NA
YPL048W	CAM1	Calcium And Membrane-binding protein	NA
YEL063C	CAN1	CANavanine resistance	Yeast7.6
YKL007W	CAP1	CAPping	NA
YIL034C	CAP2	CAPping	NA
YPL111W	CAR1	Catabolism of ARginine	Yeast7.6
YLR438W	CAR2	Catabolism of ARginine	Yeast7.6
YML042W	CAT2	Carnitine AcetylTransferase	Yeast7.6
YOR125C	CAT5	CATabolite repression	Yeast7.6
YMR280C	CAT8	CATabolite repression	NA
YGR036C	CAX4	CAlmodulin-dependent in cmd one two twenty-siX	NA
YPL178W	CBC2	Cap Binding Complex	NA
YJR060W	CBF1	Centromere Binding Factor	NA
YGR140W	CBF2	Centromere-Binding Factor	NA
YLR175W	CBF5	Centromere Binding Factor	NA
YNL161W	CBK1	Cell wall Biosynthesis Kinase	NA
YJL209W	CBP1	Cytochrome B mRNA Processing	NA
YHL038C	CBP2	Cytochrome B mRNA Processing	NA
YPL215W	CBP3	Cytochrome B mRNA Processing	NA
YGR174C	CBP4	Cytochrome B mRNA Processing	NA
YBR120C	CBP6	Cytochrome B Protein synthesis	NA
YIL043C	CBR1	Cytochrome b Reductase	NA
YDL069C	CBS1	Cytochrome B Synthesis	NA
YDR197W	CBS2	Cytochrome B Synthesis	NA
YKL208W	CBT1	Cytochrome B Termination	NA
YER168C	CCA1	tRNA CCA-pyrophosphorylase	NA
YLR220W	CCC1	Cross-Complements Ca(2+) phenotype of csg1	NA
YDR270W	CCC2	Cross-Complements Ca(2+) phenotype of csg1	NA
YKL011C	CCE1	Cruciform Cutting Endonuclease	NA
YGR217W	CCH1	Calcium Channel Homolog	NA
YPR025C	CCL1		NA
YGR150C	CCM1	COB and COX1 mRNA maturation	NA
YKR066C	CCP1	Cytochrome c Peroxidase	Yeast7.6
YAL021C	CCR4	Carbon Catabolite Repression	NA
YMR038C	CCS1	Copper Chaperone for SOD1	NA
YIL142W	CCT2	Chaperonin Containing TCP-1	NA
YJL014W	CCT3	Chaperonin Containing TCP-1	NA
YDL143W	CCT4	Chaperonin Containing TCP-1	NA
YJR064W	CCT5	Chaperonin Containing TCP-1	NA
YDR188W	CCT6	Chaperonin Containing TCP-1	NA
YJL111W	CCT7	Chaperonin Containing TCP-1	NA
YJL008C	CCT8	Chaperonin Containing TCP-1	NA
YLR110C	CCW12	Covalently linked Cell Wall protein	NA
YLR390W-A	CCW14	Covalently linked Cell Wall protein	NA
YBR131W	CCZ1	Calcium Caffeine Zinc sensitivity	NA
YLR307W	CDA1	Chitin DeAcetylase	Yeast7.6
YLR308W	CDA2	Chitin DeAcetylase	Yeast7.6
YDR182W	CDC1	Cell Division Cycle	NA
YCR002C	CDC10	Cell Division Cycle	NA
YJR076C	CDC11	Cell Division Cycle	NA
YHR107C	CDC12	Cell Division Cycle	NA
YLR215C	CDC123	Cell Division Cycle	NA
YDL220C	CDC13	Cell Division Cycle	NA
YFR028C	CDC14	Cell Division Cycle	NA
YAR019C	CDC15	Cell Division Cycle	NA
YKL022C	CDC16	Cell Division Cycle	NA
YAL038W	CDC19	Cell Division Cycle	Yeast7.6
YGL116W	CDC20	Cell Division Cycle	NA
YOR074C	CDC21	Cell Division Cycle	Yeast7.6
YHR166C	CDC23	Cell Division Cycle	NA
YAL041W	CDC24	Cell Division Cycle	NA
YLR310C	CDC25	Cell Division Cycle	NA
YFR036W	CDC26	Cell Division Cycle	NA
YBL084C	CDC27	Cell Division Cycle	NA
YBR160W	CDC28	Cell Division Cycle	NA
YLR314C	CDC3	Cell Division Cycle	NA
YOR257W	CDC31	Cell Division Cycle	NA
YOL139C	CDC33	Cell Division Cycle	NA
YDR054C	CDC34	Cell Division Cycle	NA
YDL165W	CDC36	Cell Division Cycle	NA
YDR168W	CDC37	Cell Division Cycle	NA
YCR093W	CDC39	Cell Division Cycle	NA
YFL009W	CDC4	Cell Division Cycle	NA
YDR364C	CDC40	Cell Division Cycle	NA
YLR229C	CDC42	Cell Division Cycle	NA
YGL155W	CDC43	Cell Division Cycle	NA
YLR103C	CDC45	Cell Division Cycle	NA
YDL126C	CDC48	Cell Division Cycle	NA
YMR001C	CDC5	Cell Division Cycle	NA
YCR094W	CDC50	Cell Division Cycle	NA
YDL132W	CDC53	Cell Division Cycle	NA
YGL190C	CDC55	Cell Division Cycle	NA
YJL194W	CDC6	Cell Division Cycle	NA
YPL160W	CDC60	Cell Division Cycle	Yeast7.6
YDL017W	CDC7	Cell Division Cycle	NA
YLR418C	CDC73	Cell Division Cycle	NA
YJR057W	CDC8	Cell Division Cycle	Yeast7.6
YDL164C	CDC9	Cell Division Cycle	NA
YLR245C	CDD1	CytiDine Deaminase	Yeast7.6
YGL003C	CDH1	CDC20 Homolog	NA
YBR029C	CDS1	CDP-Diacylglycerol Synthase	Yeast7.6
YMR213W	CEF1	CErevisiae homolog of cdc Five	NA
YGL130W	CEG1	Capping Enzyme Guanylyltransferase	NA
YER061C	CEM1	Condensing Enzyme with Mitochondrial function	Yeast7.6
YMR168C	CEP3	CEntromere Protein	NA
YPL228W	CET1	Capping Enzyme Triphosphatase	NA
YOR112W	CEX1	Cytoplasmic EXport protein	NA
YIL003W	CFD1	Cytosolic Fe-S cluster Deficient	NA
YDR301W	CFT1	Cleavage Factor Two	NA
YLR115W	CFT2	Cleavage Factor Two	NA
YML036W	CGI121	homolog of human CGI-121	NA
YGL029W	CGR1	Coiled-coil Growth-Regulated	NA
YCL064C	CHA1	Catabolism of Hydroxy Amino acids	Yeast7.6
YLR098C	CHA4	Catabolism of Hydroxy Amino acids	NA
YGL206C	CHC1	Clathrin Heavy Chain	NA
YER164W	CHD1	"Chromatin organization modifier, Helicase, and DNA-binding domains"	NA
YBR274W	CHK1	CHeckpoint Kinase	NA
YPL008W	CHL1	CHromosome Loss	NA
YDR254W	CHL4	CHromosome Loss	NA
YJL049W	CHM7	CHarged Multivesicular body protein	NA
YER026C	CHO1	CHOline requiring	Yeast7.6
YGR157W	CHO2	CHOline requiring	Yeast7.6
YNL192W	CHS1	CHitin Synthase	Yeast7.6
YBR038W	CHS2	CHitin Synthase	Yeast7.6
YBR023C	CHS3	CHitin Synthase-related	Yeast7.6
YLR330W	CHS5	CHitin Synthase-related	NA
YJL099W	CHS6	CHitin Synthase-related	NA
YHR142W	CHS7	CHitin Synthase-related	NA
YER030W	CHZ1	Chaperone for Htz1/H2A-H2B dimer	NA
YDR267C	CIA1	Cytosolic Iron-sulfur protein Assembly	NA
YHR122W	CIA2	Cytosolic Iron-sulfur protein Assembly	NA
YHR052W	CIC1	Core Interacting Component	NA
YMR198W	CIK1	Chromosome Instability and Karyogamy	NA
YOR349W	CIN1	Chromosome INstability	NA
YDR387C	CIN10	Chromosome INstability	NA
YPL241C	CIN2	Chromosome INstability	NA
YMR138W	CIN4	Chromosome INstability	NA
YOR028C	CIN5	Chromosome INstability	NA
YEL061C	CIN8	Chromosome INstability	NA
YPL014W	CIP1	Cdk1 Interacting Protein	NA
YGR207C	CIR1	Changed Intracellular Redox state	NA
YOR356W	CIR2	Changed Intracellular Redox state	NA
YLR346C	CIS1	CItrinin Sensitive knockout	NA
YJL158C	CIS3	CIk1 Suppressing	NA
YNR001C	CIT1	CITrate synthase	Yeast7.6
YCR005C	CIT2	CITrate synthase	Yeast7.6
YPR001W	CIT3	CITrate synthase	Yeast7.6
YIL035C	CKA1	Casein Kinase Alpha subunit	NA
YOR061W	CKA2	Casein Kinase Alpha' subunit	NA
YGL019W	CKB1	Casein Kinase Beta subunit	NA
YOR039W	CKB2	Casein Kinase Beta' subunit	NA
YLR133W	CKI1	Choline KInase	Yeast7.6
YBR135W	CKS1	Cdc28 Kinase Subunit	NA
YNL298W	CLA4	CLn Activity dependant	NA
YGR108W	CLB1	CycLin B	NA
YPR119W	CLB2	CycLin B	NA
YDL155W	CLB3	CycLin B	NA
YLR210W	CLB4	CycLin B	NA
YPR120C	CLB5	CycLin B	NA
YGR109C	CLB6	CycLin B	NA
YGR167W	CLC1	Clathrin Light Chain	NA
YGR110W	CLD1	CardioLipin-specific Deacylase	Yeast7.6
YLR117C	CLF1	Crooked neck-Like Factor	NA
YGL215W	CLG1	Cyclin-Like Gene	NA
YMR199W	CLN1	CycLiN	NA
YPL256C	CLN2	CycLiN	NA
YAL040C	CLN3	CycLiN	NA
YOR250C	CLP1	CLeavage/Polyadenylation factor Ia subunit	NA
YMR012W	CLU1	CLUstered mitochondria	NA
YKL137W	CMC1	Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase	NA
YBL059C-A	CMC2	Cx9C Motif-Containing protein	NA
YMR194C-B	CMC4	Cx9C Motif-Containing protein	NA
YBR109C	CMD1	CalMoDulin	NA
YLR271W	CMG1	Cytoplasmic and Mitochondrial G-patch protein 1	NA
YFR014C	CMK1	CalModulin dependent protein Kinase	NA
YOL016C	CMK2	CalModulin dependent protein Kinase	NA
YML057W	CMP2	CalModulin binding Protein	NA
YDL156W	CMR1	Changed Mutation Rate	NA
YOR093C	CMR2	Changed Mutation Rate	NA
YPR013C	CMR3	Changed Mutation Rate	NA
YLR003C	CMS1	Complementation of Mcm-10 Suppressor	NA
YLR433C	CNA1	CalciNeurin A	NA
YKL190W	CNB1	CalciNeurin subunit B	NA
YAL058W	CNE1	CalNExin and calreticulin homolog	NA
YDR357C	CNL1	CNo-Like	NA
YNL225C	CNM67	Chaotic Nuclear Migration	NA
YFR046C	CNN1	Co-purified with NNf1p	NA
YBR155W	CNS1	CyclophiliN Seven suppressor	NA
YIL157C	COA1	Cytochrome Oxidase Assembly	NA
YPL189C-A	COA2	Cytochrome Oxidase Assembly	NA
YJL062W-A	COA3	Cytochrome Oxidase Assembly	NA
YLR218C	COA4	Cytochrome Oxidase Assembly factor	NA
YMR244C-A	COA6	Cytochrome Oxidase Assembly	NA
Q0105	COB	CytochrOme B	Yeast7.6
YLL050C	COF1	COFilin	NA
YGL223C	COG1	Conserved Oligomeric Golgi complex	NA
YGR120C	COG2	Conserved Oligomeric Golgi complex	NA
YER157W	COG3	Conserved Oligomeric Golgi complex	NA
YPR105C	COG4	Conserved Oligomeric Golgi complex	NA
YNL051W	COG5	Conserved Oligomeric Golgi complex	NA
YNL041C	COG6	Conserved Oligomeric Golgi complex	NA
YGL005C	COG7	Conserved Oligomeric Golgi complex	NA
YML071C	COG8	Conserved Oligomeric Golgi complex	NA
YER130C	COM2	Cousin of Msn2	NA
YDL145C	COP1	COat Protein	NA
YBR003W	COQ1	COenzyme Q	Yeast7.6
YOL008W	COQ10	COenzyme Q	NA
YLR290C	COQ11	COenzyme Q	NA
YNR041C	COQ2	COenzyme Q	Yeast7.6
YOL096C	COQ3	COenzyme Q	Yeast7.6
YDR204W	COQ4	COenzyme Q	Yeast7.6
YML110C	COQ5	COenzyme Q	Yeast7.6
YGR255C	COQ6	COenzyme Q	Yeast7.6
YGL119W	COQ8	COenzyme Q	Yeast7.6
YLR201C	COQ9	COenzyme Q	Yeast7.6
YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	Yeast7.6
YNL336W	COS1	COnserved Sequence	NA
YNR075W	COS10	COnserved Sequence	NA
YBR203W	COS111	Ciclopirox Olamine Sensitive	NA
YGL263W	COS12	COnserved Sequence	NA
YBR302C	COS2	COnserved Sequence	NA
YML132W	COS3	COnserved Sequence	NA
YFL062W	COS4	COnserved Sequence	NA
YJR161C	COS5	COnserved Sequence	NA
YGR295C	COS6	COnserved Sequence	NA
YDL248W	COS7	COnserved Sequence	NA
YHL048W	COS8	COnserved Sequence	NA
YKL219W	COS9	COnserved Sequence	NA
YOR316C	COT1	CObalt Toxicity	NA
Q0045	COX1	Cytochrome c OXidase	Yeast7.6
YPL172C	COX10	Cytochrome c OXidase	Yeast7.6
YPL132W	COX11	Cytochrome c OXidase	NA
YLR038C	COX12	Cytochrome c OXidase	Yeast7.6
YGL191W	COX13	Cytochrome c OXidase	Yeast7.6
YML129C	COX14	Cytochrome c OXidase	NA
YER141W	COX15	Cytochrome c OXidase	NA
YJL003W	COX16	Cytochrome c OXidase	NA
YLL009C	COX17	Cytochrome c OXidase	NA
YGR062C	COX18	Cytochrome c OXidase	NA
YLL018C-A	COX19	Cytochrome c OXidase	NA
Q0250	COX2	Cytochrome c OXidase	Yeast7.6
YDR231C	COX20	Cytochrome c OXidase	NA
YHR116W	COX23	Cytochrome OXidase	NA
YDR119W-A	COX26		NA
Q0275	COX3	Cytochrome c OXidase	Yeast7.6
YGL187C	COX4	Cytochrome c OXidase	Yeast7.6
YNL052W	COX5A	Cytochrome c OXidase	Yeast7.6
YIL111W	COX5B	Cytochrome c OXidase	Yeast7.6
YHR051W	COX6	Cytochrome c OXidase	Yeast7.6
YMR256C	COX7	Cytochrome c OXidase	Yeast7.6
YLR395C	COX8	Cytochrome c OXidase	Yeast7.6
YDL067C	COX9	Cytochrome c OXidase	Yeast7.6
YKL179C	COY1	CASP Of Yeast	NA
YOR303W	CPA1	Carbamyl Phosphate synthetase A	Yeast7.6
YJR109C	CPA2	Carbamyl Phosphate synthetase A	Yeast7.6
YGR247W	CPD1	Cyclic nucleotide PhosphoDiesterase	Yeast7.6
YDR155C	CPR1	Cyclosporin A-sensitive Proline Rotamase	NA
YHR057C	CPR2	Cyclosporin A-sensitive Proline Rotamase	NA
YML078W	CPR3	Cyclosporin A-sensitive Proline Rotamase	NA
YCR069W	CPR4	Cyclosporin-sensitive Proline Rotamase	NA
YDR304C	CPR5	Cyclosporin-sensitive Proline Rotamase	NA
YLR216C	CPR6	Cyclosporin-sensitive Proline Rotamase	NA
YJR032W	CPR7	Cyclosporin-sensitive Proline Rotamase	NA
YNR028W	CPR8	Cyclosporin-sensitive Proline Rotamase	NA
YJL172W	CPS1	CarboxyPeptidase yscS	NA
YNL130C	CPT1	CholinePhosphoTransferase	Yeast7.6
YOR100C	CRC1	CaRnitine Carrier	Yeast7.6
YDL142C	CRD1	CaRDiolipin synthase	Yeast7.6
YDR223W	CRF1	Co-Repressor with FHL1	NA
YHR209W	CRG1	Cantharidin Resistance Gene	NA
YGR189C	CRH1	Congo Red Hypersensitive	NA
YGR218W	CRM1	Chromosome Region Maintenance	NA
YLR429W	CRN1	CoRoNin	NA
YHR146W	CRP1	Cruciform DNA-Recognizing Protein	NA
YLR213C	CRR1	CRH-Related	NA
YOL063C	CRT10	Constitutive RNR Transcription regulators	NA
YNL027W	CRZ1	Calcineurin-Responsive Zinc finger	NA
YLR241W	CSC1	Calcium permeable Stress-gated cation Channel	NA
YGL238W	CSE1	Chromosome SEgregation	NA
YNR010W	CSE2	Chromosome SEgregation	NA
YKL049C	CSE4	Chromosome SEgregation	NA
YLR087C	CSF1	Cold Sensitive for Fermentation	NA
YBR036C	CSG2	Calcium Sensitive Growth	Yeast7.6
YBR161W	CSH1	CSG1/SUR1 Homolog	Yeast7.6
YMR025W	CSI1	Cop9 Signalosome Interactor	NA
YOL007C	CSI2	Chitin Synthesis Involved	NA
YNL232W	CSL4	Cep1 Synthetic Lethal	NA
YCR086W	CSM1	Chromosome Segregation in Meiosis	NA
YIL132C	CSM2	Chromosome Segregation in Meiosis	NA
YMR048W	CSM3	Chromosome Segregation in Meiosis	NA
YPL200W	CSM4	Chromosome Segregation in Meiosis	NA
YDR179C	CSN9	Cop9 SigNalosome subunit	NA
YLR380W	CSR1	Chs5 Spa2 Rescue	NA
YPR030W	CSR2	Chs5 Spa2 Rescue	NA
YIL169C	CSS1	Condition Specific Secretion	NA
YFR020W	CSS2	Condition Specific Secretion	NA
YOL159C	CSS3	Condition Specific Secretion	NA
YBR042C	CST26	Chromosome STability	Yeast7.6
YIL036W	CST6	Chromosome STability	NA
YLR394W	CST9	Chromosome STability	NA
YDR256C	CTA1	CaTalase A	Yeast7.6
YMR094W	CTF13	Chromosome Transmission Fidelity	NA
YMR078C	CTF18	Chromosome Transmission Fidelity	NA
YPL018W	CTF19	Chromosome Transmission Fidelity	NA
YLR381W	CTF3	Chromosome Transmission Fidelity	NA
YPR135W	CTF4	Chromosome Transmission Fidelity	NA
YHR191C	CTF8	Chromosome Transmission Fidelity	NA
YDR151C	CTH1	Cysteine-Three-Histidine	NA
YPL181W	CTI6	Cyc8-Tup1 Interacting protein	NA
YKL139W	CTK1	Carboxy-Terminal domain Kinase	NA
YJL006C	CTK2	Carboxy-Terminal domain Kinase	NA
YML112W	CTK3	Carboxy-Terminal domain Kinase	NA
YMR180C	CTL1	Capping enzyme mRNA Triphosphatase-Like	NA
YHR109W	CTM1	CyTochrome c Methyltransferase	NA
YCR015C	CTO1	Cold TOlerance	NA
YBR291C	CTP1	Citrate Transport Protein	Yeast7.6
YPR124W	CTR1	Copper TRansport	NA
YHR175W	CTR2	Copper TRansport	NA
YLR411W	CTR3	Copper TRansport	NA
YCR054C	CTR86	Copper TRansport protein	NA
YOL145C	CTR9	Cln Three (CLN3) Requiring	NA
YLR286C	CTS1	ChiTinaSe	NA
YDR371W	CTS2	ChiTinaSe	NA
YGR088W	CTT1	CaTalase T	Yeast7.6
YPL260W	CUB1	Cu2+ suppressing and Bleomycin sensitive	NA
YMR264W	CUE1	Coupling of Ubiquitin conjugation to ER degradation	NA
YKL090W	CUE2	Coupling of Ubiquitin conjugation to ER degradation	NA
YGL110C	CUE3	Coupling of Ubiquitin conjugation to ER degradation	NA
YML101C	CUE4	Coupling of Ubiquitin conjugation to ER degradation	NA
YOR042W	CUE5	Coupling of Ubiquitin conjugation to ER degradation	NA
YGR003W	CUL3	CULlin	NA
YHR053C	CUP1-1	"Cu, copper, CUPrum"	NA
YHR055C	CUP1-2	"Cu, copper, CUPrum"	NA
YGL166W	CUP2		NA
YPL177C	CUP9		NA
YPR158W	CUR1	Curing of [URe3]	NA
YMR240C	CUS1	Cold sensitive U2 snRNA Suppressor	NA
YNL286W	CUS2	Cold sensitive U2 snRNA Suppressor	NA
YNL155W	CUZ1	Cdc48-associated UBL/Zn-finger protein	NA
YDR163W	CWC15	Complexed With Cef1p	NA
YDL209C	CWC2	Complexed With Cef1p	NA
YDR482C	CWC21	Complexed With Cef1p	NA
YGR278W	CWC22	Complexed With Cef1p	NA
YGL128C	CWC23	Complexed With Cef1p	NA
YLR323C	CWC24	Complexed With Cef1p	NA
YNL245C	CWC25	Complexed With Cef1p	NA
YPL064C	CWC27	Complexed With Cef1p	NA
YGL027C	CWH41	Calcofluor White Hypersensitive	NA
YCR017C	CWH43	Calcofluor White Hypersensitive	NA
YKL096W	CWP1	Cell Wall Protein	NA
YKL096W-A	CWP2	Cell Wall Protein	NA
YML054C	CYB2	CYtochrome B	Yeast7.6
YNL111C	CYB5	CYtochrome B	NA
YJR048W	CYC1	CYtochrome C	Yeast7.6
YOR037W	CYC2	CYtochrome C	NA
YAL039C	CYC3	CYtochrome C	NA
YEL039C	CYC7	CYtochrome C	Yeast7.6
YBR112C	CYC8	CYtochrome C	NA
YDL117W	CYK3	CYtoKinesis	NA
YDR430C	CYM1	CYtosolic Metalloprotease	NA
YJL005W	CYR1	CYclic AMP Requirement	Yeast7.6
YAL012W	CYS3	CYStathionine gamma-lyase	Yeast7.6
YGR155W	CYS4	CYStathionine beta-synthase	Yeast7.6
YOR065W	CYT1	CYTochrome c1	Yeast7.6
YKL087C	CYT2	CYTochrome-c1-heme-lyase	NA
YDR016C	DAD1	Duo1 And Dam1 interacting	NA
YKR083C	DAD2	Duo1 And Dam1 interacting	NA
YBR233W-A	DAD3	Duo1 And Dam1 interacting	NA
YDR320C-A	DAD4	Duo1 And Dam1 interacting	NA
YML070W	DAK1	DihydroxyAcetone Kinase	Yeast7.6
YFL053W	DAK2	DihydroxyAcetone Kinase	Yeast7.6
YIR027C	DAL1	Degradation of Allantoin	Yeast7.6
YIR029W	DAL2	Degradation of Allantoin	Yeast7.6
YIR032C	DAL3	Degradation of Allantoin	Yeast7.6
YIR028W	DAL4	Degradation of Allantoin	Yeast7.6
YJR152W	DAL5	Degradation of Allantoin	Yeast7.6
YIR031C	DAL7	Degradation of Allantoin	Yeast7.6
YKR034W	DAL80	Degradation of Allantoin	NA
YIR023W	DAL81	Degradation of Allantoin	NA
YNL314W	DAL82	Degradation of Allantoin	NA
YGR113W	DAM1	Duo1 And Mps1 interacting	NA
YJR150C	DAN1	Delayed ANaerobic	NA
YJR151C	DAN4	Delayed ANaerobic	NA
YPL170W	DAP1	DAmage resistance Protein	NA
YHR028C	DAP2	Dipeptidyl AminoPeptidase	NA
YJL149W	DAS1	Dst1-delta 6-Azauracil Sensitivity	NA
YDR020C	DAS2	Dst1-delta 6-Azauracil Sensitivity	NA
YML113W	DAT1	DATin	NA
YGR092W	DBF2	DumbBell Former	NA
YPR111W	DBF20	DumbBell Forming	NA
YDR052C	DBF4	DumbBell Former	NA
YPL119C	DBP1	Dead Box Protein	NA
YDL031W	DBP10	Dead Box Protein	NA
YNL112W	DBP2	Dead Box Protein	NA
YGL078C	DBP3	Dead Box Protein	NA
YOR046C	DBP5	Dead Box Protein	NA
YNR038W	DBP6	Dead Box Protein	NA
YKR024C	DBP7	Dead Box Protein	NA
YHR169W	DBP8	Dead Box Protein	NA
YLR276C	DBP9	Dead Box Protein	NA
YKL149C	DBR1	DeBRanching	NA
YCL016C	DCC1	Defective in sister Chromatid Cohesion	NA
YHR144C	DCD1	dCMP Deaminase	Yeast7.6
YIR030C	DCG1	Dal80p-Controlled Gene	NA
YOR180C	DCI1	"delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase"	Yeast7.6
YLR422W	DCK1	DoCK1 homolog	NA
YLR128W	DCN1	Defective in Cullin Neddylation	NA
YOL149W	DCP1	mRNA DeCaPping	NA
YNL118C	DCP2	mRNA DeCaPping	NA
YLR361C	DCR2	Dose-dependent Cell cycle Regulator	NA
YLR270W	DCS1	DeCapping Scavenger	NA
YOR173W	DCS2	DeCapping Scavenger	NA
YFR012W	DCV1	Demands Cdc28 kinase activity for Viability	NA
YKL046C	DCW1	Defective Cell Wall	NA
YPL194W	DDC1	DNA Damage Checkpoint	NA
YER143W	DDI1	DNA Damage Inducible	NA
YFL061W	DDI2	DNA Damage Inducible	NA
YNL335W	DDI3	DNA Damage Inducible	NA
YOR022C	DDL1	DDHD Domain-containing Lipase	NA
YOR163W	DDP1	Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase	Yeast7.6
YOL052C-A	DDR2	DNA Damage Responsive	NA
YMR173W	DDR48	DNA Damage Responsive	NA
YOR204W	DED1	Defines Essential Domain	NA
YHR019C	DED81	Defines Essential Domain	Yeast7.6
YKL054C	DEF1	RNAPII DEgradation Factor	NA
YFL001W	DEG1	DEpressed Growth rate	Yeast7.6
YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	NA
YBR201W	DER1	Degradation in the Endoplasmic Reticulum	NA
YDR051C	DET1	Decreased Ergosterol Transport	NA
YIL049W	DFG10	Defective for Filamentous Growth	NA
YOR030W	DFG16	Defective for Filamentous Growth	NA
YMR238W	DFG5	Defective for Filamentous Growth	NA
YDR411C	DFM1	Der1-like Family Member	NA
YOR236W	DFR1	DihydroFolate Reductase	Yeast7.6
YOR245C	DGA1	DiacylGlycerol Acyltransferase	Yeast7.6
YOR311C	DGK1	DiacylGlycerol Kinase	Yeast7.6
YNL130C-A	DGR1	2-Deoxy-Glucose Resistant 1	NA
YKL121W	DGR2	2-Deoxy-Glucose Resistant 2	NA
YDL160C	DHH1	DEAD box Helicase Homolog	NA
YKL078W	DHR2	DEAH-box RNA helicase	NA
YMR316W	DIA1	Digs Into Agar	NA
YOR080W	DIA2	Digs Into Agar	NA
YDL024C	DIA3	Digs Into Agar	NA
YHR011W	DIA4	Digs Into Agar	Yeast7.6
YPR082C	DIB1	S. pombe DIm1+ in Budding yeast	NA
YLR348C	DIC1	DIcarboxylate Carrier	Yeast7.6
YKR035W-A	DID2	Doa4-Independent Degradation	NA
YKL002W	DID4	Doa4-Independent Degradation	NA
YGR227W	DIE2	Derepression of ITR1 Expression	NA
YLR437C	DIF1	Damage-regulated Import Facilitator	NA
YPL049C	DIG1	Down-regulator of Invasive Growth	NA
YDR480W	DIG2	Down-regulator of Invasive Growth	NA
YPL266W	DIM1	DIMethylase	NA
YDR263C	DIN7	DNA Damage INducible	NA
YLR129W	DIP2	DOM34 Interacting Protein	NA
YPL265W	DIP5	DIcarboxylic amino acid Permease	Yeast7.6
YOL021C	DIS3	homolog of S. pombe dis3 (chromosome DISjunction)	NA
YDR403W	DIT1	DITyrosine	Yeast7.6
YDR402C	DIT2	DITyrosine	Yeast7.6
YIR004W	DJP1	DnaJ Protein	NA
YDL174C	DLD1	D-Lactate Dehydrogenase	Yeast7.6
YDL178W	DLD2	D-Lactate Dehydrogenase	Yeast7.6
YEL071W	DLD3	D-Lactate Dehydrogenase	Yeast7.6
YJL065C	DLS1	Dpb3-Like Subunit of ISW2/yCHRAC complex	NA
YMR126C	DLT1	Defect at Low Temperature	NA
YHR115C	DMA1	Defective in Mitotic Arrest	NA
YNL116W	DMA2	Defective in Mitotic Arrest	NA
YER179W	DMC1	Disrupted Meiotic cDNA	NA
YMR211W	DML1	Drosophila melanogaster Misato-Like protein	NA
YHR164C	DNA2	DNA synthesis defective	NA
YER166W	DNF1	Drs2 Neo1 Family	NA
YDR093W	DNF2	Drs2 Neo1 Family	NA
YMR162C	DNF3	Drs2 Neo1 Family	NA
YOR005C	DNL4	DNA Ligase	NA
YLL001W	DNM1	DyNaMin-related	NA
YKL213C	DOA1	Degradation Of Alpha	NA
YDR069C	DOA4	Degradation Of Alpha	NA
YGL240W	DOC1	Destruction Of Cyclin B	NA
YHR044C	DOG1	DeOxyGlucose	NA
YHR043C	DOG2	DeOxyGlucose	NA
YNL001W	DOM34	Duplication Of Multilocus region	NA
YDR273W	DON1	DONut	NA
YDR141C	DOP1	homolog of A. nidulans DOPey	NA
YDR068W	DOS2		NA
YDR440W	DOT1	Disruptor Of Telomeric silencing	NA
YIL010W	DOT5	Disruptor Of Telomeric silencing	Yeast7.6
